gene,GABAergic.LGN_Inh_CTXN3,GABAergic.LGN_Inh_LAMP5,GABAergic.LGN_Inh_NTRK1,GABAergic.LGN_Inh_TRPC4,Glutamatergic.LGN_Exc_BTNL9,Glutamatergic.LGN_Exc_PRKCG_BCHE,Glutamatergic.LGN_Exc_PRKCG_GRB14,Non-Neuronal.Astro_CPAMD8,Non-Neuronal.Astro_LGR6,Non-Neuronal.Micro_C1QB,Non-Neuronal.OPC_PDGFRA,Non-Neuronal.Oligo_MAG
ENSG00000121410,0.0,0.4457918055383093,0.0,0.0,0.0,0.0,0.1782442544441179,0.0,0.0,0.0,0.0,0.6949077647288902
ENSG00000175899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4633626078859345,0.0,0.0
ENSG00000166535,0.0,0.0,0.059693455106326815,0.06023803244158402,0.0,0.0,0.0,0.24268184024930756,0.10864880239566864,0.0,0.0,0.0
ENSG00000128274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6413291151962635,0.0,0.0,0.0,0.0
ENSG00000094914,0.0,0.0,0.0,0.0,0.0,0.010903698534542915,0.0,0.0,0.028909329829172138,0.0,0.0,0.08659801573068251
ENSG00000081760,0.10949221004039238,0.0,0.11638628275638953,0.0,0.0,0.0,0.01061463809138698,0.0,0.0,0.0,0.0,0.0
ENSG00000103591,0.0,0.0,0.0341313490779683,0.0,0.0,0.053558967201674815,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115977,0.0295729948066936,0.0,0.2149789712067292,0.0,0.22928730512249446,0.1931263084438241,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000087884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2884804905066347
ENSG00000127837,0.0,0.2576078040680522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000205002,0.0,0.9319906902810204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000090861,0.0,0.2787365178494565,0.023455192494338403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124608,0.0,0.3985256911976366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000266967,0.0,0.4355451007627869,0.0,0.0,0.0,0.16685433001855907,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157426,0.0,0.0,0.0,0.09338828481234654,0.0,0.0,0.0,0.17923282470930374,0.0,0.0,0.0,0.0
ENSG00000149313,0.0,0.10165895061728394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17477024792405246,0.3595934770770682,0.0,0.4751108535493274,0.4523681437913334
ENSG00000181409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5972971447237908
ENSG00000225180,0.325313140291465,0.0,0.0,0.0,0.0,0.15891061610315382,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000183044,0.20023081361800346,0.21874855336545065,0.20373665480427047,0.1505612065941775,0.0,0.0,0.0,0.0,0.0,0.0,0.18630719762741424,0.0
ENSG00000165029,0.1384485844927057,0.0,0.2326273732299428,0.0,0.0,0.0,0.07739175525019447,0.4925710554605834,0.32113559662484265,0.0,0.16121549884989847,0.0
